Subject Number,WRMT,Left Lateral VTC Classification,Age,
1,43.48,91.67,6,
2,54.35,41.67,6,
3,73.91,75,7,
4,91.3,75,8,
5,52.17,50,7,
6,60.87,75,8,
7,78.26,50,9,
8,69.57,83.33,10,
9,63.04,75,10,
10,86.96,91.67,10,
11,67.39,75,10,
12,89.13,91.67,10,
13,76.09,50,10,
14,63.04,75,11,
15,58.7,66.67,11,
16,91.3,100,11,
17,91.3,100,11,
18,89.13,91.67,12,
19,100,91.67,22,
20,97.83,100,22,
21,97.83,100,22,
22,100,83.33,22,
23,97.83,100,23,
24,97.83,100,23,
25,97.83,75,23,
26,100,100,23,
27,97.83,100,23,
28,97.83,100,24,
29,86.96,100,24,
30,100,100,24,
31,98,58.33,24,
32,100,100,24,
33,91.3,75,24,
34,91.3,91.67,24,
35,100,100,25,
36,97.83,100,26,
37,93.48,75,28,
